 Contracting Office,Procurement AAC Code,Sub Tier Code,Sub Tier Name,Notice ID,Contract Opportunity Type,Opportunity Title,Description,Current Response Date,Current Set Aside,Initiative,NAICS,PSC,Place of Performance - Country,Place of Performance - Zip,Place of Performance - City,Place of Performance - State,Interested Vendor List (IVL) Enabled,Package Attachment Count (Public),POC Name,POC Email,Unique Entity ID,Legal Business Name,Last Published Date,Inactive Date,Last Updated Date,Status
250-NETWORK CONTRACT OFFICE 10 (36C250),36C250,3600,"VETERANS AFFAIRS, DEPARTMENT OF",36C25022Q0659,Solicitation,Toyota Model 50-8FGU32 Lift Truck,<p>Request for Quote - 36C25022Q0659</p>nn<p>Toyota Model 50-8FGU32 Toyota Internal Combustion Lift Truck as specified</p>nn<p>Cannot substitute the b,"Jun 30, 2022 09:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Other Engine Equipment Manufacturing,"WAREHOUSE TRUCKS AND TRACTORS, SELF-PROPELLED",USA,46953,Marion,IN,true,1,Dwight Petsche,dwight.petsche@va.gov,,,"Jun 24, 2022 07:23 PM UTC","Jul 1, 2220 12:00 AM UTC","Jun 24, 2022 07:23 PM UTC",active
CEU MIAMI(00082),70Z082,7008,U.S. COAST GUARD,PNUM32003058,Sources Sought,"Major Maintenance & Repair (M&R) at USCG AIRTSA Miami, Florida",<p><strong>USCG - CEU Miami is conducting market research to identify eligible 8(a) firms capable of providing the Design-Build&nbsp;requirement for M,"Mar 31, 2026 04:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Institutional Building Construction,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,USA,33054,Opa Locka,FL,true,,Karina Gudiel,karina.gudiel2@uscg.mil,,,"Mar 16, 2026 04:24 PM UTC","Apr 15, 2026 12:00 AM UTC","Mar 16, 2026 04:24 PM UTC",active
DEFENSE MICROELECTRONICS ACTIVITY,HQ0727,9771,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),HQ072726MQ01,Combined Synopsis/Solicitation,FY26 Keysight Software Maintenance,<p>Renewal of software maintenance &amp; support for existing Keysight Technologies licenses.</p>n,"Feb 26, 2028 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Other Computer Related Services,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),USA,95652,McClellan,CA,true,2,Michael Hallock Jr.,michael.w.hallock4.civ@mail.mil,,,"Feb 23, 2026 07:57 PM UTC","Mar 12, 2028 12:00 AM UTC","Feb 23, 2026 07:57 PM UTC",active
DEPT OF THE ARMY,,,DEPT OF THE ARMY,W900KK26TRIOSS,Special Notice,W900KK26TRIOSS Extension,<p>NOTICE OF INTENT TO AWARD SOLE SOURCE AND IS NOT A REQUEST FOR COMPETITIVE PROPOSALS. This is a notice of intent to award a sole source contract un,"Mar 11, 2026 04:00 PM UTC",8(a) Sole Source (FAR 19.8),,"All Other Professional, Scientific, and Technical Services",SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,USA,,Orlando,FL,true,1,Nelson Harvey,nelson.m.harvey2.civ@army.mil,,,"Feb 23, 2026 03:52 PM UTC","Mar 10, 2027 12:00 AM UTC","Feb 23, 2026 03:52 PM UTC",active
DLA AVIATION,SPE4A5,97AS,DEFENSE LOGISTICS AGENCY,SPE4A5-26,Sources Sought,Collins FY26,<p>Please review the below NIINs and provide us with any sources that are able to manufacture the item. Please provide the location of the manufacture,"Nov 24, 2026 08:00 AM UTC",8(a) Sole Source (FAR 19.8),None,,,USA,,,,true,,Karl Bryan,Karl.Bryan@dla.mil,,,"Nov 19, 2025 02:55 PM UTC","Dec 9, 2026 12:00 AM UTC","Nov 19, 2025 02:55 PM UTC",active
"DLA AVIATION AT OKLAHOMA CITY, OK",SPRTA1,97AS,DEFENSE LOGISTICS AGENCY,SPRTA1-25-R-0452,Presolicitation,"Seal, Metallic, Air Cr",<p>Synopsis</p>nn<p>FD2030-25-01580</p>nn<p>Estimated issue date 11 Aug 2025 and estimated closing/response date 27 Aug 2025.</p>nn<p>RFP #: SPRTA1-25,"Aug 27, 2025 07:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Aircraft Engine and Engine Parts Manufacturing,"GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",,,,,true,,Jayson Skalla,jayson.skalla@us.af.mil,,,"Aug 11, 2025 06:45 PM UTC","Aug 27, 2026 12:00 AM UTC","Aug 11, 2025 06:45 PM UTC",active
"DLA AVIATION AT OKLAHOMA CITY, OK",SPRTA1,97AS,DEFENSE LOGISTICS AGENCY,SPRTA1-25-R-0452,Solicitation,"Seal, Metallic, Air Cr",<p>NSN:&nbsp;2840-01-308-7046PR /&nbsp; PN:&nbsp;1441M38G06 / AMC: 1C</p>n,"Oct 6, 2025 07:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Aircraft Engine and Engine Parts Manufacturing,"GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",,,,,true,2,Jayson Skalla,jayson.skalla@us.af.mil,,,"Sep 2, 2025 01:38 PM UTC","Oct 6, 2026 12:00 AM UTC","Sep 2, 2025 01:38 PM UTC",active
EM-OAK RIDGE,893035,8900,"ENERGY, DEPARTMENT OF",89303526QEM000004,Combined Synopsis/Solicitation,Request for quote for a site characterization plan,Develop a Site Characterization Plan for the David Witherspoon Screen Arts Site (SAS) in accordance with the attached Performance Work Statement,"Jun 23, 2026 08:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Remediation Services,OTHER ENVIRONMENTAL SERVICES,,,,,false,1,"Jennings, Carol S.",Carol.Jennings@orem.doe.gov,,,"Feb 23, 2026 06:07 PM UTC","Jul 8, 2026 12:00 AM UTC","Feb 23, 2026 06:07 PM UTC",active
FA4452 763 ESS,FA4452,5700,DEPT OF THE AIR FORCE,FA445226R0007,Combined Synopsis/Solicitation,352 Special Warfare Training Squadron (SWTS) - Base Camp Upgrade,<p><strong>The purpose of Amendment 2 is to extend the solicitation to 25 Mar 26.</strong></p>nn<p>This is a sole source direct 8(a) construction effo,"Mar 18, 2026 05:00 PM UTC",8(a) Sole Source (FAR 19.8),None,All Other Specialty Trade Contractors,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,USA,28307,Fort Bragg,NC,true,8,Tonya Hughes,tonya.hughes.2@us.af.mil,,,"Mar 11, 2026 08:42 PM UTC","Apr 2, 2026 12:00 AM UTC","Mar 11, 2026 08:42 PM UTC",active
FA4887 56 CONS CC,FA4887,5700,DEPT OF THE AIR FORCE,F2U3125275AQ01,Sources Sought,Automatic Door Maintenance,<p><strong>SOURCES SOUGHT: THIS IS NOT A NOTICE OF REQUEST FOR QUOTATION BUT INFORMATION AND PLANNING PURPOSES ONLY!</strong>&nbsp;This notice does no,"Mar 20, 2026 09:00 PM UTC",8(a) Sole Source (FAR 19.8),None,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENT,USA,85309,Luke Air Force Base,AZ,true,2,Velma Wynn,velma.wynn.1@us.af.mil,,,"Mar 11, 2026 11:09 PM UTC","Apr 4, 2026 12:00 AM UTC","Mar 11, 2026 11:09 PM UTC",active
