date	old_codes	new_codes	tables	line_numbers	description
2022q4	New code	316121185	 S.7.a	 14	Federal government; dividends received (IMA)
2022q4	New code	267005085	 S.9.a, S.9.q	 73, 73	Rest of the world; sector discrepancy (IMA)
2022q3	New code	794122015	 t31_matrix	 3:7	Domestic financial sectors; debt securities including negotiable certificates of deposit held by rest of world (sum of holders); liability (FWTW)
2022q3	New code	763064165			U.S.-chartered depository institutions; corporate equities, excluding Federal Reserve stock and equity in GSEs; asset (book value)
2022q3	New code	763064163			U.S.-chartered depository institutions; corporate equities, including Federal Reserve stock and equity in GSEs; asset (book value)
2022q3	New code	735410003	 F.5	 58	Holding companies; capital transfers paid, tax on foreign earnings retained abroad
2022q3	New code	733178013	 F.131, F.228, L.131, L.228	 24, 9, 21, 9	Holding companies; taxes payable, tax on foreign earnings retained abroad; liability
2022q3	New code	264022125	 t31_matrix	 3:6	Rest of the world; debt securities and negotiable certificates of deposit issued by financial corporations; asset (FWTW)
2022q3	763064105	763064103	 F.111, F.223, L.111, L.223	 28, 21, 26, 16	U.S.-chartered depository institutions; corporate equities, excluding Federal Reserve stock and equity in GSEs; asset
2022q3	763064103	Deleted			U.S.-chartered depository institutions; corporate equities, including Federal Reserve stock and equity in GSEs; asset
2022q3	665410003	Deleted	F.5	58	Security brokers and dealers; capital transfers paid, tax on foreign earnings retained abroad
2022q2	New code	884022205	 X.12, t31_matrix	 35, 7:1	All domestic sectors; debt securities (excluding nonmarketable Treasury securities); asset
2022q2	New code	804042005	 620_matrix, 720_matrix	 14:10, 14:10	Other financial intermediaries except insurance companies and pension funds; long-term loans; asset
2022q2	New code	803092305	 S.65.a, S.65.a	 86, 115	Other financial intermediaries except insurance companies and pension funds; U.S. direct investment abroad: intercompany debt; asset (market value)
2022q2	New code	803092105	 S.65.a, S.65.a, S.65.a	 50, 88, 120	Other financial intermediaries except insurance companies and pension funds; U.S. direct investment abroad: equity; asset (market value)
2022q2	New code	794022135	 X.12, t31_matrix	 10, 4:3	Domestic financial sectors; debt securities issued by government excluding non-marketable Treasury securities; asset (FWTW)
2022q2	New code	774035005	 620_matrix, 720_matrix	 12:13, 12:13	Captive financial institutions and money lenders; total loans including security repurchase agreements; asset
2022q2	New code	736006063			Holding companies; foreign earnings retained abroad
2022q2	New code	733092305	 F.230, L.230, 620_matrix, 720_matrix	 22, 19, 14:13, 14:13	Holding companies; U.S. direct investment abroad: intercompany debt (market value)
2022q2	New code	733092103	 F.230, L.230	 12, 9	Holding companies; U.S. direct investment abroad: equity (market value)
2022q2	New code	733092063			Holding companies; U.S. direct investment abroad (current cost); asset
2022q2	New code	733092003	 F.131, L.131	 13, 11	Holding companies; U.S. direct investment abroad (market value); asset
2022q2	New code	653063013			Mutual funds; corporate bonds, excluding asset-backed and foreign securities; asset (FWTW)
2022q2	New code	364022135	 X.12, t31_matrix	 17, 4:4	General government; debt securities issued by government excluding non-marketable Treasury securities; asset (FWTW)
2022q2	New code	154022135	 X.12, t31_matrix	 24, 4:5	Households and nonprofit organizations; debt securities issued by government excluding non-marketable Treasury securities; asset (FWTW)
2022q2	663192065	Deleted			Security brokers and dealers; foreign direct investment in the U.S. (current cost), adjusted for U.S. Intermediate Holding Companies; liability
2022q2	653063093	Deleted			Mutual funds; corporate bonds issued by non-depository financial institutions; asset (FWTW)
2022q2	653063083	Deleted			Mutual funds; corporate bonds issued by private depository institutions; asset (FWTW)
2022q2	653063073	Deleted			Mutual funds; foreign bonds; asset (FWTW)
2022q2	653063045	Deleted			Mutual funds; corporate bonds issued by nonfinancial corporate businesses; asset (FWTW)
2022q1	New code	803194605	 S.65.a, S.65.a, S.65.a	 72, 95, 143	Other financial intermediaries except insurance companies and pension funds; equity investment by parent companies; liability
2022q1	New code	803096105	 620_matrix, 720_matrix	 31:10, 31:10	Other financial intermediaries except insurance companies and pension funds; miscellaneous and taxes receivable; asset (IMA)
2022q1	New code	793194605	 S.6.a, S.6.a, S.6.a, S.6.q, S.6.q, S.6.q	 73, 100, 148, 61, 88, 136	Domestic financial sectors; equity investment by parent companies; liability
2022q1	New code	793094605	 S.6.a, S.6.a, S.65.a, S.65.a, S.6.q, S.6.q	 54, 128, 51, 121, 42, 116	Domestic financial sectors; equity investment in own subsidiaries; asset
2022q1	New code	793091005	 F.108, L.108, Flows_matrix, Levels_matrix	 11, 5, 17:11, 7:11	Domestic financial sectors; private foreign deposits
2022q1	New code	783096105	 620_matrix, 620_matrix, 720_matrix, 720_matrix	 29:6, 31:6, 29:6, 31:6	Private depository institutions and money market funds; miscellaneous and taxes receivable; asset (IMA)
2022q1	New code	773196105	 620_matrix, 720_matrix	 60:13, 61:13	Captive financial institutions and money lenders; miscellaneous; libility (IMA)
2022q1	New code	763194705	 F.110, F.111, F.232, L.110, L.111, L.232	 38, 54, 20, 34, 51, 20	U.S.-chartered depository institutions; other investment by holding company parent; liability
2022q1	New code	763194603	 F.110, F.111, F.232, L.110, L.111, L.232	 37, 53, 15, 33, 50, 15	U.S.-chartered depository institutions; equity investment by parent holding company; liability
2022q1	New code	763094703	 F.232, L.232	 28, 28	U.S.-chartered depository institutions; balances due from holding company parent; asset
2022q1	New code	733194713			Holding companies; balances due to domestic and foreign nonbank affiliates; liability
2022q1	New code	733194635			Holding companies; balances due to affiliates; liability
2022q1	New code	733190005	 F.131, F.231, L.131, L.231	 24, 18, 21, 18	Holding companies; total miscellaneous liabilities
2022q1	New code	733163005	 F.131, F.213, L.131, L.213	 22, 9, 19, 9	Holding companies; corporate and foreign bonds; liability
2022q1	New code	733094763			Holding companies; other investment in domestic and foreign depository institution affiliates; asset
2022q1	New code	733094735	 F.131, F.232, L.131, L.232	 15, 26, 13, 26	Holding companies; other investment in affiliates; asset
2022q1	New code	733094713			Holding companies; other investment in domestic and foreign nonbank affiliates ; asset
2022q1	New code	733094635	 F.131, F.232, L.131, L.232	 14, 19, 12, 19	Holding companies; equity investment in affiliates; asset
