Base Grid,,,,,,,
Term,Coupon,Price in Ticks,Incentive in Ticks,,,,
40,2.500000,3.682,0.000
40,3.000000,3.682,0.000
40,3.500000,3.786,0.000
40,4.000000,3.872,0.000
40,4.500000,4.021,0.000
40,5.000000,4.079,0.000
40,5.500000,4.079,0.000
40,6.000000,4.079,0.000
40,6.500000,4.079,0.000
40,7.000000,4.079,0.000
30,1.500000,3.682,0.000
30,2.000000,3.682,0.000
30,2.500000,3.682,0.000
30,3.000000,3.682,0.000
30,3.500000,3.786,0.000
30,4.000000,3.872,0.000
30,4.500000,4.021,0.000
30,5.000000,4.079,0.000
30,5.500000,4.079,0.000
30,6.000000,4.079,0.000
30,6.500000,4.079,0.000
30,7.000000,4.079,0.000
30,7.500000,4.079,0.000
30,8.000000,4.079,0.000
30,8.500000,4.079,0.000
30,9.000000,4.079,0.000
30,9.500000,4.079,0.000
30,10.000000,4.079,0.000
30,10.500000,4.079,0.000
30,11.000000,4.079,0.000
30,11.500000,4.079,0.000
20,2.000000,3.593,0.000
20,2.500000,3.593,0.000
20,3.000000,3.593,0.000
20,3.500000,3.623,0.000
20,4.000000,3.727,0.000
20,4.500000,3.727,0.000
20,5.000000,3.727,0.000
20,5.500000,3.727,0.000
20,6.000000,3.727,0.000
20,6.500000,3.727,0.000
20,7.000000,3.727,0.000
20,7.500000,3.727,0.000
20,8.000000,3.727,0.000
20,8.500000,3.727,0.000
20,9.000000,3.727,0.000
15,2.000000,3.384,0.000
15,2.500000,3.384,0.000
15,3.000000,3.410,0.000
15,3.500000,3.431,0.000
15,4.000000,3.625,0.000
15,4.500000,3.625,0.000
15,5.000000,3.625,0.000
15,5.500000,3.625,0.000
15,6.000000,3.625,0.000
15,6.500000,3.625,0.000
15,7.000000,3.625,0.000
15,7.500000,3.625,0.000
Payup Grid,,,,,,,
Term,Coupon,Payup,Tier,Tier Begin,Tier End,Price in Ticks,Incentive in Ticks
40,2.500000,LOAN BALANCE,85000,0,85000,0.000,0.000
40,3.000000,LOAN BALANCE,85000,0,85000,0.000,0.000
40,3.500000,LOAN BALANCE,85000,0,85000,0.000,0.000
40,4.000000,LOAN BALANCE,85000,0,85000,0.000,0.000
40,4.500000,LOAN BALANCE,85000,0,85000,0.000,0.000
40,5.000000,LOAN BALANCE,85000,0,85000,0.000,0.000
