Instrument Type;Exchange;Issuer;Round Lot;Settlement Type;Excercise Type;Listing Date;Trading Currency;Market Maker;MMO Trade Through Limit;EUSIPA;Clearing Venue
Leverage Certificates;FNSE;NDS;1;CASH;European;2025-07-22;SEK;NRD;0;2300;VPG

Symbol;Long Symbol;Short Name;Long Name;ISIN code;Call / Put;Warrants/Certificates Per Underlying;Instrument Currency;Strike Price;Knockout Level;Last Trading Date YYYY-MM-DD;Expiration Date YYYY-MM-DD;Number of Issued Instruments;Description;Direction;Leverage Ratio;Reimbursement Date YYYY-MM-DD;Max Level;Level Of Funding;Asian Tail Start YYYY-MM-DD;Asian Tail End YYYY-MM-DD;Strike Currency;Orderbook ID;ISIN Code for Underlying Instrument;Text for Underlying Instrument;Basket Share
BEAR ALFAX5NDA S;BEAR ALFA X5 NDA S;BEAR ALFAX5NDA S;BEAR ALFA X5 NDA S;SE0025481211;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-500;;;;;;SEK;415289;SE0000695876;;100
BEARALFAX2NDA S1;BEAR ALFA X2 NDA S1;BEARALFAX2NDA S1;BEAR ALFA X2 NDA S1;SE0025481203;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-200;;;;;;SEK;415290;SE0000695876;;100
BEARALFAX3NDA S3;BEAR ALFA X3 NDA S3;BEARALFAX3NDA S3;BEAR ALFA X3 NDA S3;SE0025481195;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-300;;;;;;SEK;415291;SE0000695876;;100
BEAR CASTX5NDA S;BEAR CASTELLUM X5 NDA S;BEAR CASTX5NDA S;BEAR CASTELLUM X5 NDA S;SE0025481153;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-500;;;;;;SEK;415292;SE0000379190;;100
BEARCASTX3NDA S2;BEAR CASTELLUM X3 NDA S2;BEARCASTX3NDA S2;BEAR CASTELLUM X3 NDA S2;SE0025481146;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-300;;;;;;SEK;415293;SE0000379190;;100
BEARCASTX2NDA S1;BEAR CASTELLUM X2 NDA S1;BEARCASTX2NDA S1;BEAR CASTELLUM X2 NDA S1;SE0025481138;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-200;;;;;;SEK;415294;SE0000379190;;100
BEAR SANX10NDA S;BEAR SANDVIK X10 NDA S;BEAR SANX10NDA S;BEAR SANDVIK X10 NDA S;SE0025481104;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-1000;;;;;;SEK;415295;SE0000667891;;100
BEAR SANX8 NDA S;BEAR SANDVIK X8 NDA S;BEAR SANX8 NDA S;BEAR SANDVIK X8 NDA S;SE0025481096;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-800;;;;;;SEK;415296;SE0000667891;;100
BEAR SANX5NDA S1;BEAR SANDVIK X5 NDA S1;BEAR SANX5NDA S1;BEAR SANDVIK X5 NDA S1;SE0025481088;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-500;;;;;;SEK;415297;SE0000667891;;100
BEAR SANX2NDA S1;BEAR SANDVIK X2 NDA S1;BEAR SANX2NDA S1;BEAR SANDVIK X2 NDA S1;SE0025481070;PUT;1;SEK;;;2099-12-31;2099-12-31;15000000;;Bear;-200;;;;;;SEK;415298;SE0000667891;;100
