SUBTYPE,01 - INDEX,02 - INITIAL PERIOD,03 - RATE ADJ FREQUENCY,04 - PYMT ADJ FREQUENCY,05 - INTERVAL RATE CAP,06 - INTERVAL PYMT CAP,07 - CONVERTIBLE FEATURE,08 - OTHER FEATURES 1,09 - OTHER FEATURES 2,10 - OTHER FEATURES 3,11 - OTHER FEATURES 4,12 - OTHER FEATURES 5,FOOTNOTE 1,FOOTNOTE 2,FOOTNOTE 3,FOOTNOTE 4,FOOTNOTE 5,FOOTNOTE 6,FOOTNOTE 7,FOOTNOTE 8,FOOTNOTE 9,FOOTNOTE 10,FOOTNOTE 11,FOOTNOTE 12
"AMAW","1-YEAR CMT MONTHLY AVERAGE                                                                                              ","0-120 MONTHS                                                                                                            ","MONTHLY                                                                                                                 ","ANNUALLY                                                                                                                ","NONE                                                                                                                    ","+/-7.5% EXCEPT WHEN NEG AM LIMIT IS REACHED                                                                             ","NOT CONVERTIBLE                                                                                                         ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
"AMBW","1-YEAR CMT MONTHLY AVERAGE                                                                                              ","0 - 18 MONTHS                                                                                                           ","SEMIANNUALLY                                                                                                            ","ANNUALLY                                                                                                                ","+/-1.5%                                                                                                                 ","+/-7.5%                                                                                                                 ","NOT CONVERTIBLE                                                                                                         ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
"AMDW","1-YEAR CMT MONTHLY AVERAGE                                                                                              ","0-120 MONTHS                                                                                                            ","MONTHLY                                                                                                                 ","ANNUALLY                                                                                                                ","NONE                                                                                                                    ","+/-7.5%                                                                                                                 ","NOT CONVERTIBLE                                                                                                         ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
"DM F","FHLB NEW YORK 5-YEAR RATE                                                                                               ","60-120 MONTHS                                                                                                           ","1 TO 5 YEARS                                                                                                            ","1 TO 5 YEARS                                                                                                            ","N/A                                                                                                                     ","N/A                                                                                                                     ","NOT CONVERTIBLE                                                                                                         ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
"FMBF","10-YEAR CMT                                                                                                             ","0 - 18 MONTHS                                                                                                           ","EVERY 10 YEARS                                                                                                          ","EVERY 10 YEARS                                                                                                          ","N/A                                                                                                                     ","N/A                                                                                                                     ","NOT CONVERTIBLE                                                                                                         ","N/A                                                                                                                     ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
"FMDF","10-YEAR CMT                                                                                                             ","91 MONTHS AND ABOVE                                                                                                     ","ONCE AFTER 120 MONTHS                                                                                                   ","ONCE AFTER 120 MONTHS                                                                                                   ","N/A                                                                                                                     ","N/A                                                                                                                     ","NOT CONVERTIBLE                                                                                                         ","N/A                                                                                                                     ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
