Benchmark Notes® and Benchmark Bonds® Outstanding as of 08/08/2025,,,,,,,
"To identify on-the-run securities from this list which are not eligible for repurchase, please e-mail: fixedincome_marketing@fanniemae.com",,,,,,,
,,,,,,,
Bullet Benchmark Securities,,,,,,,
CUSIP,Issue Date,First Call Date,Maturity Date,Coupon,Amount Issued,Amount Repurchased,Current Amount Outstanding
31359MEU3,1999-05-25 00:00:00,,2029-05-15 00:00:00,6.25,4250000000,1900000000,2350000000
31359MFJ7,2000-02-15 00:00:00,,2030-01-15 00:00:00,7.125,4824666000,1991000000,2833666000
31359MFP3,2000-05-05 00:00:00,,2030-05-15 00:00:00,7.25,4500000000,850000000,3650000000
31359MGK3,2000-11-03 00:00:00,,2030-11-15 00:00:00,6.625,4500000000,94000000,4406000000
3135G05Q2,2020-08-05 00:00:00,,2030-08-05 00:00:00,0.875,4500000000,0,4500000000
3135G05X7,2020-08-27 00:00:00,,2025-08-25 00:00:00,0.375,4500000000,0,4500000000
3135G05Y5,2020-10-09 00:00:00,,2027-10-08 00:00:00,0.75,4000000000,0,4000000000
3135G06G3,2020-11-12 00:00:00,,2025-11-07 00:00:00,0.5,4000000000,200000000,3800000000
3135G0K36,2016-04-26 00:00:00,,2026-04-24 00:00:00,2.125,3500000000,0,3500000000
3135G0Q22,2016-09-27 00:00:00,,2026-09-24 00:00:00,1.875,3500000000,0,3500000000
10,,,," 42,074,666,000",,5035000000,37039666000
