Callable Debt Outstanding Detail Report as of 08/08/2025,,,,,,,,,
This report includes all of Fannie Mae fixed and floating-rate callable debt securities,,,,,,,,,
"* For zero coupon securities, the amount reflects current face outstanding to be paid to investors at maturity.",,,,,,,,,
,,,,,,,,,
Callable Debt Outstanding,,,,,,,,,
Issue Date,Maturity Date,CUSIP,First Call Date,Call Type,Coupon Type,Call Frequency,Structure,Coupon,Amount
2025-08-08 00:00:00,2030-08-07 00:00:00,3136GALN7,2026-08-07 00:00:00,Bermudan,Fixed,Quarterly,5.00 NC 1.00,4.45,20000000
2025-08-08 00:00:00,2028-08-07 00:00:00,3136GAMK2,2025-11-07 00:00:00,Bermudan,Fixed,Monthly,3.00 NC 0.25,4,5000000
2025-08-08 00:00:00,2030-08-05 00:00:00,3136GAMT3,2027-02-05 00:00:00,Bermudan,Fixed,Monthly,4.99 NC 1.49,4.14,5000000
2025-08-08 00:00:00,2030-08-08 00:00:00,3136GAMX4,2027-02-08 00:00:00,European,Fixed,One Time,5.00 NC 1.50,4,10000000
2025-08-07 00:00:00,2035-08-07 00:00:00,3136GAL31,2025-11-07 00:00:00,Bermudan,Fixed,Quarterly,10.00 NC 0.25,5.36,25000000
2025-08-07 00:00:00,2030-08-05 00:00:00,3136GAL49,2026-02-05 00:00:00,Bermudan,Fixed,SemiAnnually,4.99 NC 0.50,4,20000000
2025-08-07 00:00:00,2030-08-07 00:00:00,3136GALB3,2025-11-07 00:00:00,Bermudan,Fixed,Quarterly,5.00 NC 0.25,4.25,25000000
2025-08-07 00:00:00,2030-08-07 00:00:00,3136GALC1,2026-08-07 00:00:00,Bermudan,Fixed,Annually,5.00 NC 1.00,4,5000000
2025-08-07 00:00:00,2028-08-04 00:00:00,3136GALX5,2026-02-04 00:00:00,Bermudan,Fixed,Quarterly,2.99 NC 0.50,4.5,5000000
2025-08-07 00:00:00,2028-08-04 00:00:00,3136GAM97,2026-02-04 00:00:00,Bermudan,Fixed,Annually,2.99 NC 0.50,4.2,5000000
2025-08-07 00:00:00,2028-08-07 00:00:00,3136GAMB2,2026-08-07 00:00:00,Bermudan,Fixed,Annually,3.00 NC 1.00,4,20000000
2025-08-07 00:00:00,2028-08-07 00:00:00,3136GAMF3,2026-08-07 00:00:00,Bermudan,Fixed,Annually,3.00 NC 1.00,4.03,25000000
2025-08-07 00:00:00,2028-07-06 00:00:00,3136GAMH9,2025-11-06 00:00:00,European,Fixed,One Time,2.91 NC 0.25,3.75,100000000
2025-08-07 00:00:00,2030-06-26 00:00:00,3136GAMJ5,2026-06-26 00:00:00,Bermudan,Fixed,Annually,4.88 NC 0.88,4.31,50000000
2025-08-07 00:00:00,2030-08-06 00:00:00,3136GAMN6,2026-02-06 00:00:00,Bermudan,Fixed,SemiAnnually,5.00 NC 0.50,4.1,30000000
