"Maturity Date","Par Amount Maturing"
"08/06/2025","$591,934,000"
"08/07/2025","$318,857,000"
"08/08/2025","$227,924,000"
"08/11/2025","$36,822,000"
"08/12/2025","$111,000,000"
"08/13/2025","$7,269,000"
"08/14/2025","$128,640,000"
"08/15/2025","$545,998,000"
"08/18/2025","$437,970,000"
"08/19/2025","$231,625,000"
"08/20/2025","$6,500,000"
"08/21/2025","$52,700,000"
"08/25/2025","$772,615,000"
"08/26/2025","$52,562,000"
"08/27/2025","$102,457,000"
"08/29/2025","$188,546,000"
"09/02/2025","$106,961,000"
"09/03/2025","$70,163,000"
"09/04/2025","$180,979,000"
"09/05/2025","$118,430,000"
"09/08/2025","$48,195,000"
"09/09/2025","$20,197,000"
"09/10/2025","$167,877,000"
"09/11/2025","$600,000,000"
"09/12/2025","$236,139,000"
"09/15/2025","$261,919,000"
"09/16/2025","$39,359,000"
"09/17/2025","$59,000,000"
"09/18/2025","$92,347,000"
"09/19/2025","$13,000,000"
"09/22/2025","$390,001,000"
"09/23/2025","$58,956,000"
"09/24/2025","$3,100,000"
"09/25/2025","$6,800,000"
"09/26/2025","$311,304,000"
"09/29/2025","$105,000,000"
"09/30/2025","$232,819,000"
"10/01/2025","$1,041,736,000"
"10/02/2025","$307,985,000"
"10/03/2025","$574,170,000"
"10/06/2025","$1,265,799,000"
"10/07/2025","$55,438,000"
"10/08/2025","$122,500,000"
"10/09/2025","$51,682,000"
"10/10/2025","$13,550,000"
"10/14/2025","$456,035,000"
"10/15/2025","$142,550,000"
"10/16/2025","$175,481,000"
"10/17/2025","$138,082,000"
"10/20/2025","$314,900,000"
"10/21/2025","$81,575,000"
"10/22/2025","$33,545,000"
"10/23/2025","$22,000,000"
"10/24/2025","$203,500,000"
"10/27/2025","$9,700,000"
"10/28/2025","$28,000,000"
"10/29/2025","$308,263,000"
"10/30/2025","$116,622,000"
"10/31/2025","$241,075,000"
"11/03/2025","$692,544,000"
"11/04/2025","$453,813,000"
"11/05/2025","$18,378,000"
"11/06/2025","$5,212,000"
"11/07/2025","$550,500,000"
"11/10/2025","$545,471,000"
"11/13/2025","$250,000"
"11/14/2025","$520,936,000"
"11/17/2025","$12,545,000"
"11/18/2025","$10,000,000"
"11/19/2025","$23,965,000"
"11/20/2025","$10,000,000"
"11/21/2025","$310,000,000"
"11/24/2025","$10,000,000"
"11/25/2025","$10,000,000"
"11/26/2025","$23,098,000"
"12/01/2025","$330,000,000"
"12/04/2025","$14,588,000"
"12/05/2025","$500,000"
"12/08/2025","$100,000,000"
"12/11/2025","$500,000,000"
"12/29/2025","$100,000,000"
"01/06/2026","$15,000,000"
"01/20/2026","$51,549,000"
"01/26/2026","$100,000,000"
"01/28/2026","$100,000,000"
"01/30/2026","$300,000,000"
"02/02/2026","$4,763,000"
"02/27/2026","$200,000,000"
"03/18/2026","$33,540,000"
"06/01/2026","$150,000,000"
